Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
60,229,232,330.5899963378906,323.010009765625,,,-494.01519470214845,39.216000366210935,-0.024905734201205957,2021-11-30,2021-12-03,3 days,
1,232,233,323.010009765625,326.19000244140625,,,2.5307926635742186,0.6492000122070313,0.00783502859682443,2021-12-03,2021-12-06,3 days,
60,233,242,326.19000244140625,323.79998779296875,,,-182.4002783203125,38.9993994140625,-0.009319735785642116,2021-12-06,2021-12-17,11 days,
1,242,254,323.79998779296875,316.3800048828125,,,-8.060162902832031,0.6401799926757812,-0.02489241262104532,2021-12-17,2022-01-05,19 days,
61,254,255,316.3800048828125,313.8800048828125,,,-190.94586059570312,38.445860595703124,-0.009893988120156556,2022-01-05,2022-01-06,1 days,
2,255,257,313.8800048828125,314.2699890136719,,,-0.4763317260742186,1.2562999877929686,-0.000758779977482298,2022-01-06,2022-01-10,4 days,
61,257,258,314.2699890136719,314.9800109863281,,,4.9270903320312485,38.38425,0.0002570145908927916,2022-01-10,2022-01-11,1 days,
1,258,259,314.9800109863281,318.2699890136719,,,2.65672802734375,0.63325,0.008434592465167891,2022-01-11,2022-01-12,1 days,
61,259,260,318.2699890136719,304.79998779296875,,,-859.6773430480957,38.00726858520508,-0.04428023905484962,2022-01-12,2022-01-13,1 days,
3,260,261,304.79998779296875,310.20001220703125,,,14.3550732421875,1.8450000000000002,0.015698899624998194,2022-01-13,2022-01-14,1 days,
60,261,262,310.20001220703125,302.6499938964844,,,-489.77209899902346,36.77100036621094,-0.026314854917550416,2022-01-14,2022-01-18,4 days,
4,262,263,302.6499938964844,303.3299865722656,,,0.29605078124999995,2.423919921875,0.00024454880821120654,2022-01-18,2022-01-19,1 days,
60,263,264,303.3299865722656,301.6000061035156,,,-140.09462768554687,36.295799560546875,-0.0076975919453631525,2022-01-19,2022-01-20,1 days,
4,264,265,301.6000061035156,296.0299987792969,,,-24.67054931640625,2.39052001953125,-0.02044972547840301,2022-01-20,2022-01-21,1 days,
61,265,266,296.0299987792969,296.3699951171875,,,-15.396623016357424,36.13639962768555,-0.000852628642524925,2022-01-21,2022-01-24,3 days,
4,266,268,296.3699951171875,296.7099914550781,,,-1.0123345947265623,2.3723199462890623,-0.0008539449095767947,2022-01-24,2022-01-26,2 days,
61,268,269,296.7099914550781,299.8399963378906,,,154.5407485961914,36.389549255371094,0.008538488652152879,2022-01-26,2022-01-27,1 days,
4,269,355,299.8399963378906,272.4200134277344,,,-111.9689716796875,2.2890400390625,-0.0933572680823319,2022-01-27,2022-06-01,125 days,
-4,355,501,272.4200134277344,241.0099945068359,,,123.58635565185558,2.053720031738281,0.11341526829914761,2022-06-01,2022-12-29,211 days,
