combo_index,buy_pullback_rsi,sell_overbought_rsi,min_atr,extreme_setup_rsi,extreme_setup_rel_vol,return_pct,max_drawdown_pct,max_drawdown_abs,win_rate_pct,profit_factor,sharpe_ratio,trade_count
66,42.0,85.0,3.5,25.0,1.1,31.656382601783818,-4.534938879989337,4.534938879989337,46.32352941176471,1.4489406543856362,0.9034319997881978,136
35,42.0,82.0,3.5,35.0,1.0,31.656382601783818,-4.534938879989337,4.534938879989337,46.32352941176471,1.4489406543856362,0.9034319997881978,136
64,42.0,85.0,3.5,25.0,0.9,31.656382601783818,-4.534938879989337,4.534938879989337,46.32352941176471,1.4489406543856362,0.9034319997881978,136
29,42.0,82.0,3.5,25.0,1.0,31.656382601783818,-4.534938879989337,4.534938879989337,46.32352941176471,1.4489406543856362,0.9034319997881978,136
30,42.0,82.0,3.5,25.0,1.1,31.656382601783818,-4.534938879989337,4.534938879989337,46.32352941176471,1.4489406543856362,0.9034319997881978,136
31,42.0,82.0,3.5,30.0,0.9,31.656382601783818,-4.534938879989337,4.534938879989337,46.32352941176471,1.4489406543856362,0.9034319997881978,136
32,42.0,82.0,3.5,30.0,1.0,31.656382601783818,-4.534938879989337,4.534938879989337,46.32352941176471,1.4489406543856362,0.9034319997881978,136
33,42.0,82.0,3.5,30.0,1.1,31.656382601783818,-4.534938879989337,4.534938879989337,46.32352941176471,1.4489406543856362,0.9034319997881978,136
34,42.0,82.0,3.5,35.0,0.9,31.656382601783818,-4.534938879989337,4.534938879989337,46.32352941176471,1.4489406543856362,0.9034319997881978,136
36,42.0,82.0,3.5,35.0,1.1,31.656382601783818,-4.534938879989337,4.534938879989337,46.32352941176471,1.4489406543856362,0.9034319997881978,136
101,42.0,88.0,3.5,25.0,1.0,31.656382601783818,-4.534938879989337,4.534938879989337,46.32352941176471,1.4489406543856362,0.9034319997881978,136
72,42.0,85.0,3.5,35.0,1.1,31.656382601783818,-4.534938879989337,4.534938879989337,46.32352941176471,1.4489406543856362,0.9034319997881978,136
71,42.0,85.0,3.5,35.0,1.0,31.656382601783818,-4.534938879989337,4.534938879989337,46.32352941176471,1.4489406543856362,0.9034319997881978,136
70,42.0,85.0,3.5,35.0,0.9,31.656382601783818,-4.534938879989337,4.534938879989337,46.32352941176471,1.4489406543856362,0.9034319997881978,136
