timestamp,ticker,market_prob,model_prob,blended_prob,confidence,direction,edge,realized_outcome,shadow_mode,executed
2026-07-19T03:47:07.556349+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026E553E9A9501-FBA0BC0F0AA,0.0,0.07,0.0098,0.35,,0,,True,False
2026-07-19T03:47:18.718154+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S20265C8DA93A081-C159BB1B8CD,0.0,0.0001,1.6e-05,0.4,,0,,True,False
2026-07-19T03:47:26.070925+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S202634B7548F033-5A62225563C,0.0,0.48,0.0672,0.35,,0,,True,False
2026-07-19T03:47:34.166383+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026539C0F08C0D-A62557EAE67,0.0,0.01,0.001,0.25,,0,,True,False
2026-07-19T03:47:40.129266+00:00,KXMVECROSSCATEGORY-S2026F525302C8E1-238DE715A1C,0.0,0.07,0.0098,0.35,,0,,True,False
2026-07-19T03:47:46.675940+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026FABD8AA9B54-7679D0890FC,0.0,0.13,0.0182,0.35,,0,,True,False
2026-07-19T03:47:57.810466+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026B7D721B5427-15050F42498,0.0,0.05,0.004,0.2,,0,,True,False
2026-07-19T03:48:06.334807+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026E6A872677CC-A94DB9A7401,0.0,0.22,0.0132,0.15,,0,,True,False
2026-07-19T03:48:16.277050+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026E55D8F2FCAD-92B7DFA0281,0.0,0.12,0.0168,0.35,,0,,True,False
2026-07-19T03:48:31.833275+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026746E3D29B86-F8ECE668EFD,0.0,0.01,0.0016,0.4,,0,,True,False
2026-07-19T03:48:43.814066+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S202643A18FEB61C-CB86F045224,0.0,0.5,0.04,0.2,,0,,True,False
2026-07-19T03:48:53.746869+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S202641D4075B24E-05F9D3C1141,0.0,0.07,0.0098,0.35,,0,,True,False
2026-07-19T03:49:01.220197+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026938EF170C9D-23EC3258EF7,0.0,0.68,0.1496,0.55,YES,0.1376,,True,False
2026-07-19T03:49:11.256195+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026C8B8C345A72-241262ADE10,0.0,0.04,0.004,0.25,,0,,True,False
2026-07-19T03:49:19.553159+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026C0A9735B5E5-5B9D46FDD42,0.0,0.31,0.031,0.25,,0,,True,False
2026-07-19T03:49:28.663479+00:00,KXMVECROSSCATEGORY-S2026F336B6D0520-D06057A2F8F,0.0,0.18,0.018,0.25,,0,,True,False
2026-07-19T03:49:37.779381+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S202667701FD5726-2320E826543,0.0,0.19,0.0266,0.35,,0,,True,False
2026-07-19T03:49:47.674260+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S20268C533113C7D-87A29EC5190,0.0,0.002,8e-05,0.1,,0,,True,False
2026-07-19T03:49:57.337419+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S202611F28845001-761BDC513BB,0.0,0.22,0.0308,0.35,,0,,True,False
2026-07-19T03:50:06.757728+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026B83AA4BD484-11487749EC9,0.0,0.02,0.004,0.5,,0,,True,False
2026-07-19T03:50:16.697599+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026B887CA9C64C-4BE987ABF39,0.0,0.05,0.008,0.4,,0,,True,False
2026-07-19T03:50:26.828652+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026715BF586075-93CA2B387A9,0.0,0.004,0.00056,0.35,,0,,True,False
2026-07-19T03:50:35.020333+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026228246F17B0-F294B672E3E,0.0,0.15,0.021,0.35,,0,,True,False
2026-07-19T03:50:47.410424+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S202649D68BB1710-5EA17739391,0.0,0.01,0.001,0.25,,0,,True,False
2026-07-19T03:51:00.518309+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026D60C8AEF84E-9911F787A86,0.0,0.52,0.0936,0.45,YES,0.0816,,True,False
2026-07-19T03:51:14.837308+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S20269079FC9B8BB-FBDD1D5AA59,0.0,0.02,0.0048,0.6,,0,,True,False
2026-07-19T03:51:26.637012+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S20264A7F7DBFC5D-4BF350C57E2,0.0,0.48,0.048,0.25,,0,,True,False
2026-07-19T03:51:34.515141+00:00,KXMVECROSSCATEGORY-S202670686CB8310-E565FE1A5B0,0.0,0.0,0.0,0.95,,0,,True,False
2026-07-19T03:51:42.911540+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026BE97DEA22BE-D515BAE63E5,0.0,0.08,0.0128,0.4,,0,,True,False
2026-07-19T03:51:54.995095+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026884EAD0BD2A-D4F2EE79DBD,0.0,0.18,0.018,0.25,,0,,True,False
2026-07-19T03:52:03.866443+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S20266E964B66901-04F4E019DE1,0.0,0.02,0.0032,0.4,,0,,True,False
2026-07-19T03:52:14.244207+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S202676068BA31B5-C51833AFFBD,0.0,0.25,0.04,0.4,,0,,True,False
2026-07-19T03:52:25.203877+00:00,KXMVECROSSCATEGORY-S20264A6F3828A93-3AC7CD96043,0.0,0.12,0.0168,0.35,,0,,True,False
2026-07-19T03:52:35.137322+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026451A0CF645E-83992AD468D,0.0,0.03,0.0048,0.4,,0,,True,False
2026-07-19T03:52:45.580616+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S202638001E61A19-ADEEB1AF268,0.0,0.0003,8.4e-05,0.7,,0,,True,False
2026-07-19T03:52:54.371514+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S202688707CFAA6C-7A15EAC23C5,0.0,0.02,0.0032,0.4,,0,,True,False
2026-07-19T03:53:00.428331+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026DA518524FD3-A1410C0CFD5,0.0,0.03,0.003,0.25,,0,,True,False
2026-07-19T03:53:10.363936+00:00,KXMVECROSSCATEGORY-S20267510E744094-4322641CE36,0.0,0.03,0.0072,0.6,,0,,True,False
2026-07-19T03:53:19.381408+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026FCFF4F83F4D-858498091E3,0.0,0.08,0.0112,0.35,,0,,True,False
2026-07-19T03:53:26.542301+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S202631D38966366-352AA288393,0.0,0.5,0.02,0.1,,0,,True,False
2026-07-19T03:53:38.009732+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026F282473C505-8AE78DA602A,0.0,0.25,0.04,0.4,,0,,True,False
2026-07-19T03:53:46.098873+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S20260E64694C43A-F959BC41545,0.0,0.05,0.008,0.4,,0,,True,False
2026-07-19T03:53:53.907262+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026071B6EE3768-25973E0E725,0.0,0.22,0.0308,0.35,,0,,True,False
2026-07-19T03:54:03.815633+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026C9F541417B4-8C2AD4482C0,0.0,0.91,0.2912,0.8,YES,0.2792,,True,False
2026-07-19T03:54:11.905262+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S20267E3354C7B46-16342B99AC7,0.0,0.35,0.077,0.55,,0,,True,False
2026-07-19T03:54:19.891765+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026FD1887D2AC3-8974CD94D24,0.0,0.25,0.02,0.2,,0,,True,False
2026-07-19T03:54:30.131756+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S202613F5A0F5C46-6AE6613EADB,0.0,0.05,0.006,0.3,,0,,True,False
2026-07-19T03:54:42.318351+00:00,KXMVECROSSCATEGORY-S2026F3317C81F5D-EB961C0FB4B,0.0,0.02,0.002,0.25,,0,,True,False
2026-07-19T03:54:53.679984+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S20267979A6B20A9-79AC0F35CF4,0.0,0.08,0.0112,0.35,,0,,True,False
2026-07-19T03:55:03.449770+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S202665E86549A26-1DDC66658A3,0.0,0.76,0.1368,0.45,YES,0.1248,,True,False
2026-07-19T03:55:16.826977+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026F4D84308996-E74F2D8B0BD,0.0,0.05,0.006,0.3,,0,,True,False
2026-07-19T03:55:24.712020+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026F5BD397D446-4C2685123EA,0.0,0.01,0.0016,0.4,,0,,True,False
2026-07-19T03:55:42.024554+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026A7CD24122EA-A918ADF4EA0,0.0,0.03,0.0048,0.4,,0,,True,False
2026-07-19T03:55:54.043724+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S2026B0C2396D811-65666E5EE6B,0.0,0.22,0.022,0.25,,0,,True,False
2026-07-19T03:56:02.804623+00:00,KXMVESPORTSMULTIGAMEEXTENDED-S202647FFDFF91CB-BC5A7EDFF8D,0.0,0.32,0.032,0.25,,0,,True,False
