Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
33333,215,234,0.5563910007476807,0.5976009964942932,,,1335.1867729777694,38.46601524406671,0.07199254426391348,2024-08-03,2024-08-22,19 days,
587,234,235,0.5976009964942932,0.6112390160560608,,,7.2959283953905105,0.7095890873670578,0.02079845854028119,2024-08-22,2024-08-23,1 days,
-587,235,245,0.6112390160560608,0.5675870180130005,,,24.931751969277858,0.6919708819985391,0.06948701063463486,2024-08-23,2024-09-02,10 days,
35718,245,246,0.5675870180130005,0.5573909878730774,,,-404.36376895201204,40.181964414238934,-0.019945854620568287,2024-09-02,2024-09-03,1 days,
515,246,247,0.5573909878730774,0.5581759810447693,,,-0.17024550557136542,0.5745169889926911,-0.0005930734518822616,2024-09-03,2024-09-04,1 days,
35659,247,273,0.5581759810447693,0.6114919781684875,,,1859.485951677084,41.70918975758553,0.09342273930687554,2024-09-04,2024-09-30,26 days,
-35659,273,287,0.6114919781684875,0.5480210185050964,,,2221.9638766884805,41.34707394838333,0.10190067718198023,2024-09-30,2024-10-14,14 days,
38344,287,288,0.5480210185050964,0.5414519906044006,,,-293.65755888557436,41.774753061294554,-0.013974830619993921,2024-10-14,2024-10-15,1 days,
352,288,348,0.5414519906044006,2.398705005645752,,,652.7181260318756,1.0349352626800536,3.4247041108394636,2024-10-15,2024-12-14,60 days,
-140,348,354,2.398705005645752,2.276885986328125,,,16.40007996559143,0.6545827388763428,0.04883611284002681,2024-12-14,2024-12-20,6 days,
4054,354,355,2.276885986328125,2.238111972808838,,,-175.4936525335312,18.30380172634125,-0.019012375559583974,2024-12-20,2024-12-21,1 days,
3699,355,356,2.238111972808838,2.1993319988250732,,,-159.86122901701927,16.41410525107384,-0.019309765767063253,2024-12-21,2024-12-22,1 days,
3878,356,361,2.1993319988250732,2.1416499614715576,,,-240.52526889896393,16.834328042030336,-0.028200844323160935,2024-12-22,2024-12-27,5 days,
5081,361,362,2.1416499614715576,2.180824041366577,,,177.08100953817367,21.962490408420564,0.016273250306616135,2024-12-27,2024-12-28,1 days,
4551,362,363,2.180824041366577,2.093179941177368,,,-418.3192920856476,19.450992124557494,-0.04214833587131315,2024-12-28,2024-12-29,1 days,
5282,363,364,2.093179941177368,2.0575709342956543,,,-210.01104047346115,21.924266124248504,-0.018994906732587396,2024-12-29,2024-12-30,1 days,
4866,364,365,2.0575709342956543,2.080127954483032,,,89.62841743898176,20.13404279279709,0.008951973898729253,2024-12-30,2024-12-31,1 days,
5180,365,370,2.080127954483032,2.3997271060943604,,,1632.3179561328911,23.205649213790892,0.15149034263570904,2024-12-31,2025-01-05,5 days,
-5180,370,396,2.3997271060943604,3.0354199409484863,,,-3321.0429462480547,28.154061703681947,-0.26716703756562854,2025-01-05,2025-01-31,26 days,
5140,396,397,3.0354199409484863,2.8844690322875977,,,-806.3158998394013,30.428229322433474,-0.05168009721419528,2025-01-31,2025-02-01,1 days,
1932,397,398,2.8844690322875977,2.5797948837280273,,,-599.1874129028321,10.556957885742188,-0.10752010474164221,2025-02-01,2025-02-02,1 days,
2410,398,399,2.5797948837280273,2.7011559009552,,,279.7529601264,12.727091391086578,0.044995851094465286,2025-02-02,2025-02-03,1 days,
4137,399,400,2.7011559009552,2.5354249477386475,,,-707.2926884279251,21.66373497104645,-0.06329421193526373,2025-02-03,2025-02-04,1 days,
1885,400,401,2.5354249477386475,2.382314920425415,,,-297.8823411369324,9.269939651489258,-0.0623279215274512,2025-02-04,2025-02-05,1 days,
1923,401,402,2.382314920425415,2.3268799781799316,,,-115.65717572808265,9.05578179001808,-0.025246090106906944,2025-02-05,2025-02-06,1 days,
1921,402,403,2.3268799781799316,2.393583059310913,,,119.06860935759545,9.068009495019913,0.026637651565498095,2025-02-06,2025-02-07,1 days,
1847,403,404,2.393583059310913,2.4243760108947754,,,47.975811172723766,8.898770402669907,0.010851928623331095,2025-02-07,2025-02-08,1 days,
1850,404,405,2.4243760108947754,2.396939992904663,,,-59.676067888736725,8.919434607028961,-0.013305417084211416,2025-02-08,2025-02-09,1 days,
1850,405,406,2.396939992904663,2.422696113586426,,,38.73249646425247,8.916326797008516,0.008734671972284265,2025-02-09,2025-02-10,1 days,
1924,406,407,2.422696113586426,2.4142160415649414,,,-25.621877555847167,9.30621898651123,-0.005496762099858232,2025-02-10,2025-02-11,1 days,
2000,407,408,2.4142160415649414,2.472835063934326,,,107.463942527771,9.774102210998535,0.0222564883750236,2025-02-11,2025-02-12,1 days,
1996,408,409,2.472835063934326,2.5625150203704834,,,168.95063427829743,10.0505587682724,0.0342297824818051,2025-02-12,2025-02-13,1 days,
1916,409,440,2.5625150203704834,2.2978670597076416,,,-516.3779846954345,9.312492065429687,-0.10517337092679944,2025-02-13,2025-03-16,31 days,
2286,440,511,2.2978670597076416,2.3106610774993896,,,18.712029350280762,10.535095321655273,0.0035622120174274457,2025-03-16,2025-05-26,71 days,
4325,511,512,2.3106610774993896,2.318671941757202,,,14.625122606754303,20.02186530828476,0.0014634475265474672,2025-05-26,2025-05-27,1 days,
4341,512,577,2.318671941757202,3.025170087814331,,,3043.7108337836266,23.197618250370027,0.30239478530808833,2025-05-27,2025-07-31,65 days,
2502,577,578,3.025170087814331,2.96459698677063,,,-166.5402960319519,14.986397220611572,-0.022003016751490335,2025-07-31,2025-08-01,1 days,
4469,578,579,2.96459698677063,2.766371965408325,,,-911.4793207154274,25.61170024728775,-0.06879720623903593,2025-08-01,2025-08-02,1 days,
2936,579,580,2.766371965408325,2.9495439529418945,,,521.0110262622833,16.781929136276247,0.0641475816825038,2025-08-02,2025-08-03,1 days,
4045,580,581,2.9495439529418945,3.072809934616089,,,474.25047439694407,24.360421475172043,0.03974974764139286,2025-08-03,2025-08-04,1 days,
2687,581,582,3.072809934616089,2.963747978210449,,,-309.26970797371865,16.22023111176491,-0.03745708871279286,2025-08-04,2025-08-05,1 days,
4271,582,598,2.963747978210449,2.850474119186402,,,-508.62519446968844,24.832542577981954,-0.040181581563946356,2025-08-05,2025-08-21,16 days,
2928,598,599,2.850474119186402,3.075773000717163,,,642.3230735549914,17.352051567077638,0.07696005128910693,2025-08-21,2025-08-22,1 days,
3786,599,602,3.075773000717163,2.861272096633911,,,-834.578075597763,22.477652738571166,-0.07166912159291493,2025-08-22,2025-08-25,3 days,
3373,602,604,2.861272096633911,2.966618061065674,,,335.67446452641485,19.657473501920702,0.034781059232758524,2025-08-25,2025-08-27,2 days,
3554,604,606,2.966618061065674,2.8219571113586426,,,-534.6976114215851,20.57259616279602,-0.050714153889230576,2025-08-27,2025-08-29,2 days,
3690,606,607,2.8219571113586426,2.818186044692993,,,-34.727364242076874,20.812128245830536,-0.0033349939245427155,2025-08-29,2025-08-30,1 days,
3562,607,608,2.818186044692993,2.7766408920288086,,,-167.9126073384285,19.928773548603058,-0.016727064449728882,2025-08-30,2025-08-31,1 days,
3786,608,609,2.7766408920288086,2.753695011138916,,,-107.8109567785263,20.937851729393007,-0.010255635460390277,2025-08-31,2025-09-01,1 days,
3615,609,613,2.753695011138916,2.816247940063477,,,205.99349429369133,20.135343768596652,0.020693281479197072,2025-09-01,2025-09-05,4 days,
3637,613,614,2.816247940063477,2.810854911804199,,,-40.08021685123606,20.46577307224274,-0.003913054299791923,2025-09-05,2025-09-06,1 days,
3626,614,630,2.810854911804199,2.8530099391937256,,,132.31695536470414,20.537173949718476,0.012982229137933602,2025-09-06,2025-09-22,16 days,
3539,630,633,2.8530099391937256,2.742319107055664,,,-411.5367244312763,19.801869494676588,-0.040759115342294934,2025-09-22,2025-09-25,3 days,
3885,633,634,2.742319107055664,2.7858119010925293,,,147.4927158665657,21.476788966655732,0.013843999019311114,2025-09-25,2025-09-26,1 days,
3434,634,635,2.7858119010925293,2.807734966278076,,,56.07556590461731,19.20823994255066,0.005861672969295574,2025-09-26,2025-09-27,1 days,
3831,635,636,2.807734966278076,2.8665859699249268,,,203.7198714644909,21.7383235065937,0.018939352663025204,2025-09-27,2025-09-28,1 days,
3299,636,638,2.8665859699249268,2.846930980682373,,,-83.69070193123818,18.84889242005348,-0.008849728024666687,2025-09-28,2025-09-30,2 days,
3875,638,728,2.846930980682373,1.8477239608764648,,,-3890.118989646435,18.191787898540497,-0.3526259265009805,2025-09-30,2025-12-29,90 days,
