Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
98,208,242,202.67999267578125,219.27999877929688,,,1585.4485189819336,41.35207916259766,0.07982063694831433,2020-10-28,2020-12-16,49 days,
-98,242,259,219.27999877929688,214.92999267578125,,,383.74801898193357,42.55257916259765,0.01785751611573908,2020-12-16,2021-01-12,27 days,
94,259,261,214.92999267578125,213.02000427246097,,,-219.76620962524146,40.22729971313477,-0.010877674033122349,2021-01-12,2021-01-14,2 days,
1,261,262,213.02000427246097,212.6499938964844,,,-0.7956803741455079,0.42566999816894535,-0.0037352378095335727,2021-01-14,2021-01-15,1 days,
94,262,307,212.6499938964844,237.5800018310547,,,2301.099126251218,42.32161959838868,0.11511769876071211,2021-01-15,2021-03-23,67 days,
-28,307,333,237.5800018310547,252.5099945068359,,,-431.76231481933513,13.722519897460938,-0.06490480071249628,2021-03-23,2021-04-29,37 days,
82,333,336,252.5099945068359,247.7899932861328,,,-428.0646990966774,41.02459899902344,-0.020673641923328843,2021-04-29,2021-05-04,5 days,
1,336,337,247.7899932861328,246.47000122070312,,,-1.8142520599365235,0.49425999450683594,-0.00732173255213554,2021-05-04,2021-05-05,1 days,
82,337,340,246.47000122070312,247.17999267578125,,,17.73999981689453,40.47929949951172,0.0008777598089430099,2021-05-05,2021-05-10,5 days,
1,340,341,247.17999267578125,246.22999572753903,,,-1.4434069366455362,0.4934099884033203,-0.005839497448884625,2021-05-10,2021-05-11,1 days,
82,341,342,246.22999572753903,239.0,,,-632.6485093078591,39.7888596496582,-0.031333411270508676,2021-05-11,2021-05-12,1 days,
3,342,343,239.0,243.02999877929688,,,10.643906341552734,1.4460899963378906,0.014845057659069263,2021-05-12,2021-05-13,1 days,
81,343,344,243.02999877929688,248.1499938964844,,,374.9340250854515,39.785579406738286,0.019046270615815368,2021-05-13,2021-05-14,1 days,
1,344,345,248.1499938964844,245.17999267578125,,,-3.463331207275419,0.4933299865722657,-0.013956604039733062,2021-05-14,2021-05-17,3 days,
82,345,346,245.17999267578125,243.0800018310547,,,-212.23656881713868,40.03731954956055,-0.010556533634683736,2021-05-17,2021-05-18,1 days,
2,346,347,243.0800018310547,243.1199951171875,,,-0.8924134216308595,0.9723999938964845,-0.0018356372694350344,2021-05-18,2021-05-19,1 days,
82,347,394,243.1199951171875,286.5400085449219,,,3517.008980773926,43.43212030029297,0.17641639637002485,2021-05-19,2021-07-27,69 days,
-32,394,426,286.5400085449219,295.7099914550781,,,-312.071453125,18.632,-0.03403445459389432,2021-07-27,2021-09-10,45 days,
71,426,438,295.7099914550781,283.5199890136719,,,-906.615501953125,41.125328613281255,-0.04318160627255909,2021-09-10,2021-09-28,18 days,
3,438,439,283.5199890136719,284.0,,,-0.26252700805664064,1.7025599670410156,-0.000308651968385048,2021-09-28,2021-09-29,1 days,
70,439,440,284.0,281.9200134277344,,,-185.21346099853514,39.614400939941405,-0.009316572484835781,2021-09-29,2021-09-30,1 days,
4,440,442,281.9200134277344,283.1099853515625,,,2.4997677001953127,2.2601199951171873,0.002216734872598981,2021-09-30,2021-10-04,4 days,
70,442,443,283.1099853515625,288.760009765625,,,355.4708093261719,40.030899658203126,0.017937037482585943,2021-10-04,2021-10-05,1 days,
2,443,444,288.760009765625,293.1099853515625,,,7.536211181640625,1.163739990234375,0.013049263967953015,2021-10-05,2021-10-06,1 days,
69,444,477,293.1099853515625,339.8299865722656,,,3180.0072261657715,43.67285806274414,0.15723470216649726,2021-10-06,2021-11-22,47 days,
-20,477,482,339.8299865722656,330.5899963378906,,,171.39140502929686,13.408399658203125,0.025217227996572025,2021-11-22,2021-11-30,8 days,
65,482,485,330.5899963378906,323.010009765625,,,-535.1831275939942,42.48400039672852,-0.024905734201205957,2021-11-30,2021-12-03,3 days,
1,485,486,323.010009765625,326.19000244140625,,,2.5307926635742186,0.6492000122070313,0.00783502859682443,2021-12-03,2021-12-06,3 days,
65,486,495,326.19000244140625,323.79998779296875,,,-197.60030151367187,42.24934936523438,-0.009319735785642116,2021-12-06,2021-12-17,11 days,
1,495,503,323.79998779296875,339.32000732421875,,,14.856899536132813,0.6631199951171876,0.045882952736959484,2021-12-17,2021-12-30,13 days,
