Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
184,201,205,108.5,102.31999969482422,,,-1175.9109360961913,38.790879943847656,-0.058901569630143855,2018-10-18,2018-10-24,6 days,
9,205,206,102.31999969482422,108.3000030517578,,,51.92445018768298,1.895580024719238,0.05638568580330864,2018-10-24,2018-10-25,1 days,
173,206,207,108.3000030517578,106.95999908447266,,,-269.0606667098975,37.23998036956787,-0.014360701067368389,2018-10-25,2018-10-26,1 days,
11,207,208,106.95999908447266,103.8499984741211,,,-36.528916687011716,2.3189099731445313,-0.031047219861020374,2018-10-26,2018-10-29,3 days,
178,208,243,103.8499984741211,103.69000244140624,,,-65.42141398620859,36.94212016296387,-0.0035391048534485544,2018-10-29,2018-12-19,51 days,
12,243,337,103.69000244140624,125.5199966430664,,,259.20941043090835,2.7505199890136716,0.20832079944044743,2018-12-19,2019-05-07,139 days,
-4,337,341,125.5199966430664,123.3499984741211,,,7.6845126953125,0.99547998046875,0.015305355522683157,2019-05-07,2019-05-13,6 days,
160,341,355,123.3499984741211,119.83999633789062,,,-600.5107409667969,38.910399169921874,-0.03042717614487768,2019-05-13,2019-06-03,21 days,
3,355,373,119.83999633789062,134.14999389648438,,,42.16802270507812,0.761969970703125,0.11728978636421403,2019-06-03,2019-06-27,24 days,
-3,373,396,134.14999389648438,136.27000427246094,,,-7.171291122436523,0.811259994506836,-0.017819086715651036,2019-06-27,2019-07-31,34 days,
144,396,399,136.27000427246094,132.2100067138672,,,-623.3007700195312,38.66112158203125,-0.03176397911403628,2019-07-31,2019-08-05,5 days,
3,399,407,132.2100067138672,133.67999267578125,,,3.6122878875732423,0.7976699981689453,0.009107449522564268,2019-08-05,2019-08-15,10 days,
143,407,483,133.67999267578125,149.30999755859375,,,2194.623129638672,40.46756860351563,0.11480412726981341,2019-08-15,2019-12-03,110 days,
-42,483,538,149.30999755859375,170.88999938964844,,,-919.808476776123,13.448399871826172,-0.14667605777308135,2019-12-03,2020-02-24,83 days,
115,538,539,170.88999938964844,168.07000732421875,,,-363.2794882965088,38.980400772094725,-0.018485295122160968,2020-02-24,2020-02-25,1 days,
2,539,540,168.07000732421875,170.1699981689453,,,3.523501678466797,0.6764800109863282,0.010482244079604689,2020-02-25,2020-02-26,1 days,
113,540,541,170.1699981689453,158.17999267578125,,,-1391.9741696929932,37.1035489654541,-0.0723885268646421,2020-02-26,2020-02-27,1 days,
9,541,542,158.17999267578125,162.00999450683594,,,31.588306594848632,2.8817098846435547,0.02218872174982385,2020-02-27,2020-02-28,1 days,
110,542,543,162.00999450683594,172.7899932861328,,,1148.9718670654297,36.827998657226566,0.06447255814864668,2020-02-28,2020-03-02,3 days,
3,543,544,172.7899932861328,164.50999450683594,,,-25.85189630126953,1.0118999633789063,-0.049871515145092735,2020-03-02,2020-03-03,1 days,
116,544,546,164.50999450683594,166.27000427246094,,,165.79065295410157,38.37047985839844,0.0086877990065602,2020-03-03,2020-03-05,2 days,
2,546,547,166.27000427246094,161.57000732421875,,,-10.055673919677734,0.6556800231933594,-0.030238989779539045,2020-03-05,2020-03-06,1 days,
119,547,548,161.57000732421875,150.6199951171875,,,-1340.202062927246,37.15061029052734,-0.06970478244067325,2020-03-06,2020-03-09,3 days,
9,548,549,150.6199951171875,160.9199981689453,,,89.89616752624512,2.8038599395751955,0.06631565119027058,2020-03-09,2020-03-10,1 days,
101,549,550,160.9199981689453,153.6300048828125,,,-768.0588722076416,31.769550308227544,-0.04725667024430846,2020-03-10,2020-03-11,1 days,
24,550,552,153.6300048828125,158.8300018310547,,,117.30088659667969,7.499040161132813,0.03181368734093623,2020-03-11,2020-03-13,2 days,
85,552,582,158.8300018310547,174.0500030517578,,,1265.4053033447265,28.294800415039063,0.0937299064672652,2020-03-13,2020-04-27,45 days,
-25,582,646,174.0500030517578,202.02000427246097,,,-708.6517807006843,9.40175018310547,-0.16286165315146833,2020-04-27,2020-07-28,92 days,
96,646,810,202.02000427246097,237.5800018310547,,,3371.55816503906,42.201600585937506,0.17384613805434784,2020-07-28,2021-03-23,238 days,
-28,810,836,237.5800018310547,252.5099945068359,,,-431.76231481933513,13.722519897460938,-0.06490480071249628,2021-03-23,2021-04-29,37 days,
79,836,839,252.5099945068359,247.7899932861328,,,-412.40379547118914,39.523699035644526,-0.020673641923328843,2021-04-29,2021-05-04,5 days,
1,839,840,247.7899932861328,246.47000122070312,,,-1.8142520599365235,0.49425999450683594,-0.00732173255213554,2021-05-04,2021-05-05,1 days,
79,840,843,246.47000122070312,247.17999267578125,,,17.090975433349612,38.99834951782226,0.0008777598089430099,2021-05-05,2021-05-10,5 days,
